"TF","TargetGene"
"Rreb1(+)","Abca1"
"Rreb1(+)","Ankrd52"
"Rreb1(+)","Mtmr3"
"Rreb1(+)","Pstpip2"
"Rreb1(+)","Ubtd1"
"Rreb1(+)","Mir9-3hg"
"Stat1(+)","Tcea1"
"Stat1(+)","Rgs20"
"Stat1(+)","Vcpip1"
"Stat1(+)","Sbspon"
"Stat1(+)","Tmem131"
"Stat1(+)","Coa5"
"Stat1(+)","Mitd1"
"Stat1(+)","Il1r2"
"Stat1(+)","Stat1"
"Stat1(+)","Pgap1"
"Stat1(+)","Cflar"
"Stat1(+)","Casp8"
"Stat1(+)","Nrp2"
"Stat1(+)","Ino80dos"
"Stat1(+)","Adam23"
"Stat1(+)","Plekhm3"
"Stat1(+)","Rpe"
"Stat1(+)","Apol7d"
"Stat1(+)","Mreg"
"Stat1(+)","1700016L21Rik"
"Stat1(+)","C130026I21Rik"
"Stat1(+)","Sp110"
"Stat1(+)","Sp140"
"Stat1(+)","Sp100"
"Stat1(+)","Tnfrsf11a"
"Stat1(+)","Zcchc2"
"Stat1(+)","Serpinb7"
"Stat1(+)","Ikbke"
"Stat1(+)","Nuak2"
"Stat1(+)","Sox13"
"Stat1(+)","Gm19705"
"Stat1(+)","Rgs1"
"Stat1(+)","Pla2g4a"
"Stat1(+)","Trmt1l"
"Stat1(+)","Cep350"
"Stat1(+)","Tor1aip1"
"Stat1(+)","Tor3a"
"Stat1(+)","Gorab"
"Stat1(+)","Fcgr4"
"Stat1(+)","Slamf7"
"Stat1(+)","Slamf1"
"Stat1(+)","Slamf8"
"Stat1(+)","Aim2"
"Stat1(+)","Ifi204"
"Stat1(+)","Mndal"
"Stat1(+)","Ifi203"
"Stat1(+)","Ifi205"
"Stat1(+)","Sdccag8"
"Stat1(+)","Akt3"
"Stat1(+)","Psen2"
"Stat1(+)","Acbd3"
"Stat1(+)","Aida"
"Stat1(+)","Taf1a"
"Stat1(+)","Dusp10"
"Stat1(+)","Traf5"
"Stat1(+)","Cr2"
"Stat1(+)","Dclre1c"
"Stat1(+)","Pfkfb3"
"Stat1(+)","Il15ra"
"Stat1(+)","Slc2a6"
"Stat1(+)","Gbgt1"
"Stat1(+)","Ptges"
"Stat1(+)","Ass1"
"Stat1(+)","Traf1"
"Stat1(+)","Mrrf"
"Stat1(+)","Dennd1a"
"Stat1(+)","Zeb2"
"Stat1(+)","Zeb2os"
"Stat1(+)","Kif5c"
"Stat1(+)","Nmi"
"Stat1(+)","Fmnl2"
"Stat1(+)","Gpd2"
"Stat1(+)","Tank"
"Stat1(+)","Fap"
"Stat1(+)","Ifih1"
"Stat1(+)","Kcnh7"
"Stat1(+)","Cobll1"
"Stat1(+)","Cers6"
"Stat1(+)","Dhrs9"
"Stat1(+)","Fastkd1"
"Stat1(+)","Slc25a12"
"Stat1(+)","Hat1"
"Stat1(+)","Chn1os3"
"Stat1(+)","Pde11a"
"Stat1(+)","4930440I19Rik"
"Stat1(+)","Itga4"
"Stat1(+)","Ube2l6"
"Stat1(+)","Nup160"
"Stat1(+)","Acp2"
"Stat1(+)","Phf21a"
"Stat1(+)","Pex16"
"Stat1(+)","Traf6"
"Stat1(+)","Prr5l"
"Stat1(+)","Wt1os"
"Stat1(+)","D330050G23Rik"
"Stat1(+)","Rasgrp1"
"Stat1(+)","Rmdn3"
"Stat1(+)","Capn3"
"Stat1(+)","Adal"
"Stat1(+)","Ckmt1"
"Stat1(+)","B2m"
"Stat1(+)","AA467197"
"Stat1(+)","Sppl2a"
"Stat1(+)","F830045P16Rik"
"Stat1(+)","Vps16"
"Stat1(+)","Rnf24"
"Stat1(+)","Prnd"
"Stat1(+)","Hao1"
"Stat1(+)","Tmx4"
"Stat1(+)","Slx4ip"
"Stat1(+)","Rrbp1"
"Stat1(+)","Cst7"
"Stat1(+)","Psmf1"
"Stat1(+)","Hck"
"Stat1(+)","Procr"
"Stat1(+)","Mmp24"
"Stat1(+)","Samhd1"
"Stat1(+)","Rbl1"
"Stat1(+)","Blcap"
"Stat1(+)","Gm826"
"Stat1(+)","Cd40"
"Stat1(+)","Cdh22"
"Stat1(+)","Stau1"
"Stat1(+)","Znfx1"
"Stat1(+)","Rnf114"
"Stat1(+)","Aurka"
"Stat1(+)","Rtfdc1"
"Stat1(+)","Zbp1"
"Stat1(+)","Ctsz"
"Stat1(+)","Gm14325"
"Stat1(+)","Ogfr"
"Stat1(+)","Helz2"
"Stat1(+)","Gpr82"
"Stat1(+)","Ube2a"
"Stat1(+)","Smarca1"
"Stat1(+)","Enox2"
"Stat1(+)","Fmr1"
"Stat1(+)","Mtm1"
"Stat1(+)","5430427O19Rik"
"Stat1(+)","Pdk3"
"Stat1(+)","Dgat2l6"
"Stat1(+)","Il2rg"
"Stat1(+)","Pgk1"
"Stat1(+)","Brwd3"
"Stat1(+)","Apool"
"Stat1(+)","Tsc22d3"
"Stat1(+)","Iqsec2"
"Stat1(+)","Acot9"
"Stat1(+)","Asb11"
"Stat1(+)","Hccs"
"Stat1(+)","Car13"
"Stat1(+)","Abhd18"
"Stat1(+)","Stoml3"
"Stat1(+)","Dclk1"
"Stat1(+)","Ankub1"
"Stat1(+)","Rap2b"
"Stat1(+)","Il12a"
"Stat1(+)","Kpna4"
"Stat1(+)","Rapgef2"
"Stat1(+)","Cd1d1"
"Stat1(+)","Cd5l"
"Stat1(+)","Gpatch4"
"Stat1(+)","Sema4a"
"Stat1(+)","Ssr2"
"Stat1(+)","Adar"
"Stat1(+)","Ctss"
"Stat1(+)","Fcgr1"
"Stat1(+)","Rnf115"
"Stat1(+)","Reg4"
"Stat1(+)","Bcl2l15"
"Stat1(+)","Mov10"
"Stat1(+)","Fam212b"
"Stat1(+)","Cept1"
"Stat1(+)","Psma5"
"Stat1(+)","Stxbp3"
"Stat1(+)","Fam102b"
"Stat1(+)","Sass6"
"Stat1(+)","Plppr4"
"Stat1(+)","Cnn3"
"Stat1(+)","Tram1l1"
"Stat1(+)","Alpk1"
"Stat1(+)","Tifa"
"Stat1(+)","Ints12"
"Stat1(+)","Cisd2"
"Stat1(+)","Dapp1"
"Stat1(+)","Adh4"
"Stat1(+)","Gbp5"
"Stat1(+)","Gbp7"
"Stat1(+)","Gbp3"
"Stat1(+)","Gbp2"
"Stat1(+)","Gtf2b"
"Stat1(+)","Ifi44"
"Stat1(+)","Lyn"
"Stat1(+)","Plag1"
"Stat1(+)","Plekhf2"
"Stat1(+)","Tmem67"
"Stat1(+)","Zfp292"
"Stat1(+)","Ddx58"
"Stat1(+)","Rnf38"
"Stat1(+)","Zcchc7"
"Stat1(+)","Aldh1b1"
"Stat1(+)","Tdrd7"
"Stat1(+)","Trim14"
"Stat1(+)","Abca1"
"Stat1(+)","Bnc2"
"Stat1(+)","Saxo1"
"Stat1(+)","Ifnb1"
"Stat1(+)","Ube2u"
"Stat1(+)","Foxd2"
"Stat1(+)","Prdx1"
"Stat1(+)","Eri3"
"Stat1(+)","St3gal3"
"Stat1(+)","Slc2a1"
"Stat1(+)","Hivep3"
"Stat1(+)","Inpp5b"
"Stat1(+)","Rnf19b"
"Stat1(+)","C77080"
"Stat1(+)","Adgrb2"
"Stat1(+)","Oprd1"
"Stat1(+)","Smpdl3b"
"Stat1(+)","Themis2"
"Stat1(+)","Clic4"
"Stat1(+)","Ncmap"
"Stat1(+)","Tmco4"
"Stat1(+)","Ubr4"
"Stat1(+)","Sdhb"
"Stat1(+)","Necap2"
"Stat1(+)","Tnfrsf8"
"Stat1(+)","Miip"
"Stat1(+)","Agtrap"
"Stat1(+)","Pik3cd"
"Stat1(+)","Isg15"
"Stat1(+)","AW011738"
"Stat1(+)","Ankib1"
"Stat1(+)","Steap4"
"Stat1(+)","Gsap"
"Stat1(+)","Fgl2"
"Stat1(+)","Psmc2"
"Stat1(+)","Orc5"
"Stat1(+)","Nub1"
"Stat1(+)","Tnip2"
"Stat1(+)","Lrpap1"
"Stat1(+)","Evc"
"Stat1(+)","Cd38"
"Stat1(+)","Lap3"
"Stat1(+)","Tbc1d1"
"Stat1(+)","Tlr1"
"Stat1(+)","Tlr6"
"Stat1(+)","Aasdh"
"Stat1(+)","Rest"
"Stat1(+)","Rufy3"
"Stat1(+)","Gm19619"
"Stat1(+)","Cxcl9"
"Stat1(+)","Art3"
"Stat1(+)","Cxcl10"
"Stat1(+)","Rasgef1b"
"Stat1(+)","Plac8"
"Stat1(+)","Hpse"
"Stat1(+)","Gbp8"
"Stat1(+)","Gbp9"
"Stat1(+)","Gbp4"
"Stat1(+)","Gbp6"
"Stat1(+)","Lrrc8c"
"Stat1(+)","Brdt"
"Stat1(+)","Gfi1"
"Stat1(+)","Crlf2"
"Stat1(+)","Cmklr1"
"Stat1(+)","Ankrd13a"
"Stat1(+)","Oasl2"
"Stat1(+)","Oasl1"
"Stat1(+)","Oas2"
"Stat1(+)","Oas3"
"Stat1(+)","Oas1c"
"Stat1(+)","Oas1g"
"Stat1(+)","Oas1a"
"Stat1(+)","Trafd1"
"Stat1(+)","P2rx7"
"Stat1(+)","Rnf34"
"Stat1(+)","Stx2"
"Stat1(+)","Ncf1"
"Stat1(+)","Rasa4"
"Stat1(+)","Pilrb1"
"Stat1(+)","Pilrb2"
"Stat1(+)","Micall2"
"Stat1(+)","Fscn1"
"Stat1(+)","Ccz1"
"Stat1(+)","Flt3"
"Stat1(+)","Pds5b"
"Stat1(+)","Samd9l"
"Stat1(+)","Gm20619"
"Stat1(+)","Mdfic"
"Stat1(+)","Met"
"Stat1(+)","Kcnd2"
"Stat1(+)","Zfp800"
"Stat1(+)","Lrrc4"
"Stat1(+)","Slc35b4"
"Stat1(+)","Tmem140"
"Stat1(+)","Parp12"
"Stat1(+)","4930599N23Rik"
"Stat1(+)","Mkrn1"
"Stat1(+)","Clec5a"
"Stat1(+)","Lrrc61"
"Stat1(+)","Osbpl3"
"Stat1(+)","Snx10"
"Stat1(+)","Skap2"
"Stat1(+)","Tax1bp1"
"Stat1(+)","Nod1"
"Stat1(+)","Nt5c3"
"Stat1(+)","Herc6"
"Stat1(+)","Tnip3"
"Stat1(+)","Gng12"
"Stat1(+)","St3gal5"
"Stat1(+)","Capg"
"Stat1(+)","M1ap"
"Stat1(+)","Tgfa"
"Stat1(+)","Mitf"
"Stat1(+)","Eif4e3"
"Stat1(+)","Sumf1"
"Stat1(+)","Vhl"
"Stat1(+)","Rad52"
"Stat1(+)","Usp18"
"Stat1(+)","Slc6a12"
"Stat1(+)","M6pr"
"Stat1(+)","Clec4a3"
"Stat1(+)","Clec4e"
"Stat1(+)","C1rl"
"Stat1(+)","Tpi1"
"Stat1(+)","Tapbpl"
"Stat1(+)","Kcna6"
"Stat1(+)","9330179D12Rik"
"Stat1(+)","Parp11"
"Stat1(+)","Clec2d"
